pass,entity,start,end,length,csc,pct,prior,verdict,conf,keep,is_tp,flag,norm_strength,anom_strength,normal_hypothesis,anomaly_hypothesis,reasoning
1,machine-1-1,168,335,168,0.1900018007339289,80.19801980198021,LOW,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows values mostly within the y=[0,1] range, indicating normal variation. The ","Ch19 exceeds the y=1.0 line, reaching approximately y=1.1, indicating a level shift. This exceedance","Given the low prior strength and modest anomaly percentile, the evidence for normal variation is roughly balanced with t"
1,machine-1-1,3808,3975,168,0.1872698599472642,77.22772277227723,LOW,NORMAL,2,False,False,FP,moderate,weak,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Channels Ch19, Ch0, and Ch20 show values slightly above the y=1.0 line, indicating a minor level shi","Given the low prior strength and modest anomaly percentile, the evidence for normal variation is slightly stronger than "
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,LOW,NORMAL,2,False,False,FP,moderate,weak,"The candidate window shows values that are mostly within the y=[0,1] range, indicating normal operat","Ch20 and Ch21 show values slightly exceeding the y=1.0 line, indicating a minor level shift. This ex","Given the low prior and modest score, the evidence for normal variation is stronger, with only slight exceedance above t"
1,machine-1-1,12208,12655,448,0.1968320919550024,91.88118811881189,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows some values within the y=[0,1] range, suggesting potential normal variati","Channels Ch0, Ch20, and Ch35 exceed the y=1.0 line, with Ch0 reaching approximately y=1.5, Ch20 reac","Given the high prior strength and clear exceedance of normal operating ranges in multiple channels, the evidence strongl"
1,machine-1-1,13608,14055,448,0.20750298612983897,97.42574257425743,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows values that are mostly within the normal range, with some fluctuations. T","Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line significantly, with Ch0 reaching approximately 1.","Given the high anomaly percentile and clear exceedance of normal operating range in multiple channels, the evidence stro"
1,machine-1-1,15008,15511,504,0.1987810129713681,94.45544554455445,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows some values within the y=[0,1] range, suggesting potential normal variati","Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=1.5, indicatin","Given the high anomaly percentile and clear exceedance of the training maximum in multiple channels, the evidence strong"
1,machine-1-1,16072,16519,448,0.20702707773307338,98.41584158415841,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window could be considered normal if the observed values are within the y=[0,1] range.","Channels Ch0, Ch20, Ch19, and Ch21 all exceed the y=1.0 line, with Ch0 reaching approximately y=2.4,","Given the high anomaly percentile and clear exceedance of normal operating range in multiple channels, the evidence stro"
1,machine-1-1,16912,16967,56,0.18927669199183583,71.88118811881188,LOW,NORMAL,2,False,True,TP,moderate,weak,"The candidate window's channel values are mostly within the y=[0,1] range, with only a slight exceed","Ch0 shows a value slightly above the y=1.0 line, indicating a minor level shift. This exceedance is ","Given the low prior strength and modest anomaly percentile, the evidence for normal variation is stronger, with only min"
1,machine-1-1,17192,17695,504,0.22385433435233104,100.0,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window could be considered normal if the observed values were within the y=[0,1] range","Channels Ch0, Ch2, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=2.5, indi","Given the high prior and clear exceedance of normal operating range in multiple channels, the evidence strongly supports"
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,LOW,NORMAL,3,False,True,TP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are within t","No channels exceed the y=1.0 line, so there are no specific channels to name or extent to estimate. ","Given the low prior strength and the lack of any channel exceeding the normal range, the evidence strongly supports the "
1,machine-1-1,18256,18647,392,0.21223680369023765,99.00990099009901,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows some values within the y=[0,1] range, indicating potential normal variati","Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=2.5, indicatin","Given the high prior and clear exceedance of normal operating range in multiple channels, the evidence strongly supports"
1,machine-1-1,19656,20271,616,0.20247541478073056,97.82178217821782,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows some values within the normal range (y=[0,1]), suggesting potential norma","Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=1.3, indicatin","Given the high prior and clear exceedance of normal operating range in multiple channels, the evidence strongly supports"
1,machine-1-1,20944,21391,448,0.19882525503635406,95.04950495049505,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows values that are mostly within the y=[0,1] range, indicating normal operat","Channels Ch0, Ch20, Ch34, and Ch35 exceed the y=1.0 line, with Ch0 reaching approximately 1.3, indic","Given the high prior and clear exceedance of the normal range in multiple channels, the evidence strongly supports an an"
1,machine-1-1,22120,22511,392,0.19810168777725526,91.68316831683168,HIGH,ANOMALY,3,True,False,FP,weak,strong,The candidate window could be normal if the observed values are within the expected range of variati,"Channels Ch0, Ch20, Ch19, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=1.8. Thi",The high anomaly score and clear exceedance of training maximums in multiple channels strongly indicate an anomaly.
1,machine-1-1,23632,24079,448,0.20100796251790598,94.65346534653465,HIGH,ANOMALY,3,True,False,FP,moderate,strong,"The candidate window shows values that are mostly within the y=[0,1] range, suggesting normal variat","Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=1.5, indicatin","Given the high anomaly percentile and the clear exceedance of the training maximum in multiple channels, the evidence st"
1,machine-1-1,24976,25311,336,0.19904464211625358,92.87128712871288,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows some values within the y=[0,1] range, indicating potential normal variati","Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=1.7, indicatin","Given the high prior and clear exceedance of normal operating range in multiple channels, the evidence strongly supports"
1,machine-1-1,26488,26823,336,0.19060888793319464,84.75247524752476,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The candidate window shows values for Ch0, Ch20, and Ch21 that are mostly within the y=[0,1] range, ","Ch0 exceeds the y=1.0 line, reaching approximately y=1.2, indicating a level shift. This exceedance ","The score is elevated but not extreme, and while there is some exceedance in Ch0, the overall pattern is not significant"
2,machine-1-1,24511,24734,224,0.18274092725810728,72.47524752475248,,NORMAL,2,False,True,TP,,,,,"Given the low prior and modest anomaly score, the evidence for normal variation is stronger, with only minor exceedance "
2,machine-1-1,25946,26169,224,0.17672154369315,58.01980198019802,,NORMAL,1,False,True,TP,,,,,"With a low prior and modest anomaly score, the evidence for normal variation is roughly balanced with the anomaly hypoth"
