timestamp,value
1222819200,-0.05983738618906642
1222840800,-0.05923788826857512
1222862400,-0.05916295102851343
1222884000,-0.058563453108022134
1222905600,-0.05601558694593267
1222927200,-0.05519127730525675
1222948800,-0.053992281464273706
1222970400,-0.7622241372850236
1222992000,-0.7613248904042864
1223013600,-0.7600509573232417
1223035200,-0.7823073176214921
1223056800,-0.7773614597774361
1223078400,-0.7743639701749783
1223100000,-0.7721158529731347
1223121600,-0.7691933006107385
1223143200,-0.7685938026902468
1223164800,-0.7680692420098167
1223186400,-0.7675446813293867
1223208000,-0.766945183408895
1223229600,-0.7653715013676043
1223251200,-0.7650717524073589
1223272800,-0.7645471917269284
1223294400,-0.7625988234853307
1223316000,-0.7711416688523363
1223337600,-0.7705421709318445
1223359200,-0.7685188654501856
1223380800,-0.768144179249878
1223402400,-0.7679193675296938
1223424000,-0.7673948068492638
1223445600,-0.766945183408895
1223467200,-0.7663456854884032
1223488800,-0.7658211248079732
1223510400,-0.765596313087789
1223532000,-0.7638727565663754
1223553600,-0.7619243883247777
1223575200,-0.7614747648844093
1223596800,-0.7594514594027499
1223618400,-0.7584023380418898
1223640000,-0.7582524635617669
1223661600,-0.758102589081644
1223683200,-0.6349057664206228
1223704800,-0.3931582299823897
1223726400,-0.05414215594439664
1223748000,0.2458316160215821
1223769600,0.9105998726066922
1223791200,1.1671100453370302
1223812800,1.714076960545543
1223834400,2.007681067106298
1223856000,2.4001273933081047
1223877600,2.7330735509011204
1223899200,3.004496234403687
1223920800,3.3794072464311142
1223942400,3.7741766270748247
1223964000,4.026790063321968
1223985600,4.09003709393383
1224007200,4.093334332496534
1224028800,4.09415864213721
1224050400,4.09468320281764
1224072000,4.097006257259545
1224093600,4.0976057551800364
1224115200,4.098579939300835
1224136800,4.099254374461388
1224158400,4.0997039979017575
1224180000,4.101877177863539
1224201600,4.102476675784031
1224223200,4.103151110944584
1224244800,4.104724792985874
1224266400,4.105399228146427
1224288000,4.106373412267226
1224309600,4.109295964629623
1224331200,4.110420023230544
1224352800,4.112143579751958
1224374400,4.113717261793248
1224396000,4.114391696953801
1224417600,4.116040316235153
1224439200,4.116639814155644
1224460800,4.117164374836075
1224482400,4.117613998276443
1224504000,4.118363370677058
1224525600,4.118887931357488
1224547200,4.119937052718348
1224568800,4.12211023268013
1224590400,4.122859605080745
1224612000,4.123384165761175
1224633600,4.123908726441605
1224655200,4.124882910562404
1224676800,4.125107722282588
1224698400,4.126156843643448
1224720000,4.126681404323879
1224741600,4.127655588444678
1224763200,4.1278804001648615
1224784800,4.1289295215257225
1224806400,4.129454082206152
1224828000,4.129978642886583
1224849600,4.132751320768856
1224871200,4.135299186930945
1224892800,4.135823747611376
1224914400,4.136348308291805
1224936000,4.138746299973772
1224957600,4.1388212372138335
1224979200,4.140469856495185
1225000800,4.1421934130165985
1225022400,4.14279291093709
1225044000,4.144591404698565
1225065600,4.146839521900408
1225087200,4.149237513582375
1225108800,4.15156056802428
1225130400,4.153733747986061
1225152000,4.154333245906553
1225173600,4.154932743827045
1225195200,4.156056802427966
1225216800,4.157330735509011
1225238400,4.159054292030424
1225260000,4.159653789950916
1225281600,4.162051781632883
1225303200,4.162651279553374
1225324800,-1.1163775338154294
1225346400,-1.0622728464910636
