case_id,case_type,ground_truth,model_answer,model_reason,model_confidence
C1_001,C1,broken,maintained,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
C1_003,C1,broken,maintained,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",0.95
C1_004,C1,broken,maintained,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C1_009,C1,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C1_011,C1,broken,maintained,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C1_013,C1,broken,maintained,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C1_018,C1,broken,maintained,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",0.95
C1_023,C1,broken,maintained,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C3_001,C3,broken,maintained,"The two channels move in sync with each other throughout the entire interval, maintaining a consistent phase relationship.",0.95
C3_002,C3,broken,maintained,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
C3_003,C3,broken,maintained,"Channel A and Channel B move together consistently throughout the entire interval, maintaining a stable phase relationship.",0.95
C3_004,C3,broken,maintained,The two channels move in sync with a stable phase relationship throughout the entire interval.,0.95
C3_005,C3,broken,maintained,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",0.95
C3_008,C3,broken,maintained,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
C3_009,C3,broken,maintained,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C3_010,C3,broken,maintained,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",0.95
C3_011,C3,broken,maintained,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C3_012,C3,broken,maintained,The two channels move in sync with a stable phase relationship throughout the entire interval.,0.95
C3_013,C3,broken,maintained,"The two channels move in a consistent phase relationship throughout the entire interval, with no significant divergence.",0.95
C3_015,C3,broken,maintained,"The two channels move in a consistent phase relationship throughout the entire interval, with no significant divergence.",0.95
C3_016,C3,broken,maintained,The two channels move together in a consistent phase relationship throughout the entire interval.,0.95
C3_017,C3,broken,maintained,The two channels move together in a consistent phase relationship throughout the entire interval.,0.95
C3_018,C3,broken,maintained,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",0.95
C3_019,C3,broken,maintained,"Channel A and Channel B move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
C3_020,C3,broken,maintained,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C3_021,C3,broken,maintained,The two channels move together in a consistent phase relationship throughout the entire interval.,0.95
C3_022,C3,broken,maintained,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
C3_023,C3,broken,maintained,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C3_024,C3,broken,maintained,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C3_026,C3,broken,maintained,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
