case_id,case_type,ground_truth_label,model_answer,model_confidence,model_reason,parse_status
C0_000,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_001,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_002,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_003,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_004,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_005,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_006,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_007,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_008,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",OK
C0_009,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_010,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_011,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and amplitude relationship.",OK
C0_012,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_013,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",OK
C0_014,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_015,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_016,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_017,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_018,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_019,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_020,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_021,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_022,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_023,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_024,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_025,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_026,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_027,C0,maintained,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_028,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C0_029,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",OK
C1_000,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the 100-200 time step interval, where they diverge significantly before realigning.",OK
C1_001,C1,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",OK
C1_002,C1,broken,broken,0.9,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly before realigning.,OK
C1_003,C1,broken,maintained,0.95,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",OK
C1_004,C1,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",OK
