case_id,status,judge_status,case_type,ground_truth_label,model_answer,model_confidence,model_reason,reason_type,judge_rationale
C0_000,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_001,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_002,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_003,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_004,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_005,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_006,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_007,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_008,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",relational,Mock classification for pipeline validation.
C0_009,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_010,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_011,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and amplitude relationship.",relational,Mock classification for pipeline validation.
C0_012,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_013,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",relational,Mock classification for pipeline validation.
C0_014,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_015,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_016,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_017,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_018,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_019,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_020,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_021,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_022,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_023,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_024,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_025,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_026,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_027,OK,OK,C0,maintained,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_028,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C0_029,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C1_000,OK,OK,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the 100-200 time step interval, where they diverge significantly before realigning.",relational,Mock classification for pipeline validation.
C1_001,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C1_002,OK,OK,C1,broken,broken,0.9,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly before realigning.,relational,Mock classification for pipeline validation.
C1_003,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C1_004,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C1_005,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where they diverge significantly before realigning.",relational,Mock classification for pipeline validation.
C1_006,OK,OK,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the 100-150 time step interval, where they diverge significantly, and does not fully recover.",relational,Mock classification for pipeline validation.
C1_007,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B deviates significantly from Channel A before realigning.",relational,Mock classification for pipeline validation.
C1_008,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C1_009,OK,OK,C1,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C1_010,OK,OK,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the peak near time step 100, where Channel B deviates significantly from Channel A, and does not fully recover to the previous level of synchronization.",relational,Mock classification for pipeline validation.
C1_011,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C1_012,OK,OK,C1,broken,broken,0.9,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly before realigning.,relational,Mock classification for pipeline validation.
C1_013,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C1_014,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the 100-150 time step interval, where they diverge significantly, and does not fully recover.",relational,Mock classification for pipeline validation.
C1_015,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-150 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C1_016,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down significantly between time steps 100 and 200, where they diverge and do not move together.",relational,Mock classification for pipeline validation.
C1_017,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C1_018,OK,OK,C1,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C1_019,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C1_020,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where Channel B deviates significantly from Channel A.",relational,Mock classification for pipeline validation.
C1_021,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they diverge significantly before realigning.",relational,Mock classification for pipeline validation.
C1_022,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-150 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C1_023,OK,OK,C1,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C1_024,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C1_025,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C1_026,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-150 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C1_027,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the 100 to 200 time step interval, where Channel B deviates significantly from Channel A.",relational,Mock classification for pipeline validation.
C1_028,OK,OK,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the midpoint, where they diverge significantly before realigning.",relational,Mock classification for pipeline validation.
C1_029,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,Mock classification for pipeline validation.
C2_000,OK,OK,C2,broken,broken,0.95,"The relationship breaks down between time steps 100 and 200, where Channel B becomes flat while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_001,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_002,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues oscillating.",relational,Mock classification for pipeline validation.
C2_003,OK,OK,C2,broken,broken,0.95,"Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,Mock classification for pipeline validation.
C2_004,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where Channel B remains constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_005,OK,OK,C2,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the midpoint where Channel B becomes constant while Channel A continues to oscillate.,relational,Mock classification for pipeline validation.
C2_006,OK,OK,C2,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the midpoint where Channel B becomes constant while Channel A continues to oscillate.,relational,Mock classification for pipeline validation.
C2_007,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B becomes flat while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_008,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B becomes flat while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_009,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B move together initially, but Channel B becomes flat while Channel A continues oscillating, indicating a breakdown in their relationship.",relational,Mock classification for pipeline validation.
C2_010,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B becomes flat while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_011,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_012,OK,OK,C2,broken,broken,0.95,"Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,Mock classification for pipeline validation.
C2_013,OK,OK,C2,broken,broken,0.95,The relationship breaks down around the midpoint where Channel B becomes constant while Channel A continues to oscillate.,relational,Mock classification for pipeline validation.
C2_014,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_015,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_016,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_017,OK,OK,C2,broken,broken,0.95,"Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,Mock classification for pipeline validation.
C2_018,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_019,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B move together initially, but Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,Mock classification for pipeline validation.
C2_020,OK,OK,C2,broken,broken,0.95,The relationship breaks down around the midpoint where Channel B becomes flat while Channel A continues its oscillation.,relational,Mock classification for pipeline validation.
