case_id,case_type,ground_truth_label,model_answer,model_confidence,model_reason,parse_status
H1a_000,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns with no significant deviations or anomalies.,OK
H1a_001,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any visible anomalies.,OK
H1a_002,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any visible anomalies.,OK
H1a_003,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any visible anomalies.,OK
H1a_004,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns with no significant deviations or anomalies.,OK
H1a_005,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any noticeable anomalies.,OK
H1a_006,H1a,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior throughout the interval.,OK
H1a_007,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any visible anomalies.,OK
H1a_008,H1a,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior throughout the interval.,OK
H1a_009,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any noticeable anomalies.,OK
H1a_010,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns with no visible anomalies.,OK
H1a_011,H1a,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any noticeable anomalies.,OK
H1a_012,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns with no visible anomalies.,OK
H1a_013,H1a,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any noticeable anomalies.,OK
H1a_014,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any noticeable anomalies.,OK
H1a_015,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any noticeable anomalies.,OK
H1a_016,H1a,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior throughout the interval.,OK
H1a_017,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any abrupt changes or deviations.,OK
H1a_018,H1a,maintained,maintained,0.95,Both channels exhibit similar periodic behavior throughout the interval without any significant deviations.,OK
H1a_019,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns with no significant deviations or anomalies.,OK
H1a_020,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any noticeable anomalies.,OK
H1a_021,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any abrupt changes or deviations.,OK
H1a_022,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any abrupt changes or deviations.,OK
H1a_023,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any noticeable anomalies.,OK
H1a_024,H1a,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior throughout the interval without any noticeable anomalies.,OK
H1a_025,H1a,maintained,broken,0.95,"Channel B shows a phase shift compared to Channel A, indicating an anomaly in their synchronization.",OK
H1a_026,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any abrupt changes or deviations.,OK
H1a_027,H1a,maintained,broken,0.95,"Channel B shows a significant deviation from Channel A between time steps 50 and 100, indicating an anomaly.",OK
H1a_028,H1a,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any noticeable anomalies.,OK
H1a_029,H1a,maintained,maintained,0.95,Both channels exhibit consistent sinusoidal patterns without any noticeable anomalies.,OK
H1b_000,H1b,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any visible anomalies.,OK
H1b_001,H1b,maintained,maintained,0.95,"Both channels exhibit regular, periodic behavior without any visible anomalies.",OK
H1b_002,H1b,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any visible anomalies.,OK
H1b_003,H1b,maintained,maintained,0.95,"Both channels exhibit regular, periodic behavior without any visible anomalies.",OK
H1b_004,H1b,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any visible anomalies.,OK
H1b_005,H1b,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any sudden deviations or anomalies.,OK
H1b_006,H1b,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any sudden deviations or anomalies.,OK
H1b_007,H1b,maintained,maintained,0.95,Both channels exhibit consistent periodic behavior without any sudden deviations or anomalies.,OK
