pass,entity,start,end,length,csc,pct,prior,verdict,conf,keep,is_tp,flag,norm_s,anom_s,reason
1,machine-1-1,168,335,168,0.1900018007339289,82.77227722772277,MOD,ANOMALY,3,True,False,FP,moderate,strong,"Score is elevated at 83rd percentile with specific channel spikes, and temporal context suggests ongoing structural chan"
1,machine-1-1,3808,3975,168,0.1872698599472642,80.19801980198021,LOW,NORMAL,1,False,False,FP,moderate,moderate,Score is modestly elevated but within natural variation; temporal context suggests post-peak plateau.
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,LOW,NORMAL,2,False,False,FP,moderate,weak,Score is modestly elevated but consistent with natural variation; temporal context suggests post-peak plateau.
1,machine-1-1,12208,12655,448,0.1968320919550024,87.92079207920793,MOD,ANOMALY,3,True,False,FP,weak,strong,Score is elevated with clear channel-specific changes and temporal evidence of ongoing structural change.
1,machine-1-1,13608,14055,448,0.20750298612983897,95.44554455445544,HIGH,ANOMALY,3,True,False,FP,weak,strong,"High prior score with clear channel shifts and pattern changes, supported by temporal evidence of ongoing structural cha"
1,machine-1-1,15008,15511,504,0.1987810129713681,89.3069306930693,MOD,ANOMALY,3,True,False,FP,moderate,strong,The candidate is within an active anomaly cluster with specific channel evidence showing significant changes not present
1,machine-1-1,16072,16519,448,0.20702707773307338,95.24752475247524,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate's score is in the 95th percentile with a clear level shift in Ch0, indicating a strong anomaly despite the"
1,machine-1-1,16912,16967,56,0.18927669199183583,81.98019801980197,LOW,ANOMALY,3,True,True,TP,moderate,strong,"Ch0 exhibits a clear level shift absent in baselines, and the candidate is within an active anomaly cluster, indicating "
1,machine-1-1,17192,17695,504,0.22385433435233104,99.00990099009901,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score with clear channel-specific changes and no post-peak plateau suggests a strong anomaly.
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,LOW,NORMAL,3,False,True,TP,strong,moderate,"The candidate is in a post-peak plateau with features consistent with baselines, suggesting a new stable state despite m"
1,machine-1-1,18256,18647,392,0.21223680369023765,96.83168316831683,HIGH,ANOMALY,3,True,True,TP,weak,strong,"High prior score and specific channel changes indicate a strong anomaly, with no evidence of a new stable state."
1,machine-1-1,19656,20271,616,0.20247541478073056,92.67326732673268,HIGH,ANOMALY,3,True,True,TP,moderate,strong,High prior score and specific channel shifts indicate a strong anomaly despite post-peak plateau.
1,machine-1-1,20944,21391,448,0.19882525503635406,89.3069306930693,MOD,ANOMALY,3,True,True,TP,moderate,strong,"Score is elevated at 89th percentile with a clear level shift in Ch0, indicating an anomaly despite post-peak plateau co"
1,machine-1-1,22120,22511,392,0.19810168777725526,88.51485148514851,MOD,ANOMALY,3,True,False,FP,moderate,strong,"Score is elevated with specific channel changes indicating structural change, despite post-peak plateau."
1,machine-1-1,23632,24079,448,0.20100796251790598,91.68316831683168,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The candidate is in a post-peak plateau with moderate score elevation, suggesting a new stable state rather than an ongo"
1,machine-1-1,24976,25311,336,0.19904464211625358,89.3069306930693,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The score is elevated but consistent with a post-peak plateau, indicating a new stable state rather than an ongoing anom"
1,machine-1-1,26488,26823,336,0.19060888793319464,82.97029702970296,MOD,NORMAL,2,False,False,FP,moderate,moderate,Score is elevated but within natural variation; temporal context suggests a post-peak plateau indicating a new stable st
1,machine-1-2,4536,4759,224,0.17483112745685503,98.09523809523809,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score with clear channel-specific level shift and ongoing structural change in temporal context.
1,machine-1-2,5432,5599,168,0.1658699334754298,79.52380952380952,LOW,NORMAL,2,False,True,TP,moderate,moderate,Score is modestly elevated but within natural variation; temporal context suggests a post-peak plateau.
1,machine-1-2,5712,6103,392,0.17202706814610533,92.61904761904762,HIGH,ANOMALY,3,True,True,TP,weak,strong,"High prior score with clear channel shifts and spikes, consistent with ongoing structural change."
1,machine-1-2,6160,6943,784,0.17148417374119163,90.95238095238095,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The candidate's elevated score and distinct channel changes, combined with its position within an active anomaly cluster"
1,machine-1-2,7280,7503,224,0.16616800712654367,80.95238095238095,LOW,NORMAL,2,False,False,FP,moderate,moderate,"The candidate is in a post-peak plateau with modest score elevation, suggesting a new stable state rather than an ongoin"
1,machine-1-2,7784,8007,224,0.16686960333026946,83.0952380952381,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The candidate's elevated score and distinct channel shift in Ch0, combined with its position within an active anomaly cl"
1,machine-1-2,8288,8511,224,0.16660270473221317,82.38095238095238,MOD,ANOMALY,3,True,False,FP,weak,strong,"The candidate shows a strong level shift in Ch0 not present in baselines, and it is within an active anomaly cluster."
1,machine-1-2,11144,11423,280,0.16731184511445463,84.04761904761905,MOD,ANOMALY,3,True,False,FP,weak,strong,"The score is elevated at the 84th percentile with a clear level shift in Ch0, indicating an ongoing structural change."
1,machine-1-2,12432,13047,616,0.17101809913715857,90.0,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated with a clear level shift in Ch0, and the candidate is within an active anomaly cluster."
1,machine-1-2,13384,13495,112,0.1665913627715785,82.14285714285714,MOD,ANOMALY,2,True,False,FP,moderate,moderate,"The candidate shows moderate deviation in Ch1 with a level shift and amplitude spike, supported by elevated score and te"
1,machine-1-2,14616,14727,112,0.16549175354884937,77.85714285714286,LOW,NORMAL,2,False,False,FP,moderate,moderate,"Score is modestly elevated but within natural variation; visual evidence shows no clear structural change, and candidate"
1,machine-1-2,15456,15679,224,0.16820922965416685,87.38095238095238,MOD,ANOMALY,3,True,True,TP,weak,strong,"Score and visual evidence indicate a strong anomaly with specific channel changes, supported by temporal context showing"
1,machine-1-2,15792,16071,280,0.17475550479721277,97.61904761904762,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score with clear channel-specific deviation and temporal evidence of ongoing structural change.
1,machine-1-2,16912,17079,168,0.1689682232293611,88.09523809523809,MOD,NORMAL,2,False,False,FP,moderate,weak,Score is elevated but within natural variation; candidate is in a post-peak plateau suggesting a new stable state.
1,machine-1-2,18480,19039,560,0.16923364220419898,88.33333333333333,MOD,NORMAL,2,False,True,TP,moderate,moderate,"Score is elevated but candidate is in a post-peak plateau, suggesting a new stable state rather than an ongoing anomaly."
1,machine-1-2,19208,19431,224,0.1659341043094189,80.0,LOW,NORMAL,2,False,False,FP,moderate,weak,"The candidate is in a post-peak plateau with modest score elevation, suggesting a new stable state rather than an ongoin"
1,machine-1-2,20048,20439,392,0.1703887386496977,89.52380952380953,MOD,NORMAL,2,False,True,TP,moderate,moderate,"Score is elevated but consistent with a post-peak plateau, suggesting a new stable state rather than an ongoing anomaly."
1,machine-1-2,20608,20887,280,0.16757898810785363,84.76190476190476,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The candidate is in a post-peak plateau with moderate score elevation, suggesting a new stable state rather than an ongo"
1,machine-1-2,21784,22399,616,0.17483399862169594,98.09523809523809,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear channel-specific level shift indicate a strong anomaly despite some visual consistency.
1,machine-1-2,22680,22959,280,0.16705605705734355,83.57142857142857,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The candidate is in a post-peak plateau with moderate deviations, suggesting a new stable state rather than an ongoing a"
