ds,sig,cs,ce,pct,z_global,z_local,verdict,conf,keep,is_tp,flag,reason
MSL,C-1,1680,1959,94.66666666666667,4.516800995024876,8.549613418564421,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +8.5σ deviation.
MSL,C-1,2968,3191,92.0,5.369154228855722,1.5068827357271128,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +5.4σ global deviation.
MSL,C-1,3416,3639,90.66666666666666,4.342303482587065,1.8267167835551772,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +4.3σ global deviation.
MSL,C-1,3976,4367,100.0,5.033582089552239,4.284783980418645,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by +4.3σ deviation.
MSL,D-14,5096,5879,100.0,20000.0,20000.0,ANOMALY,3,True,True,TP,Clear shift in level confirmed by extreme z-score.
MSL,D-15,672,895,91.66666666666666,-13.261041284403666,-2.487422998581087,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,D-15,1176,1399,95.83333333333334,-13.261041284403666,-2.5358583380584556,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,D-15,2632,2855,93.05555555555556,-13.261041284403666,-2.2736264917909343,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,D-15,3192,3639,100.0,-13.261041284403666,-3.183542281895437,ANOMALY,3,True,True,TP,Clear shift and extreme deviation from global normal and before context.
MSL,D-16,392,615,91.93548387096774,4.685900853556677,0.6715866208466502,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +4.7σ deviation.
MSL,D-16,1904,2407,100.0,4.70451375305443,20000.0,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by extreme z-scores.
MSL,F-7,0,279,95.45454545454545,7.149699999999999,3.33217636366844,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-7,3472,3807,90.9090909090909,7.149699999999999,2.764197363891375,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by +7.1σ deviation.
MSL,F-7,4088,4591,99.24242424242425,7.149699999999999,1.5323679976508897,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-7,5320,5935,100.0,7.149699999999999,1.618895180847244,ANOMALY,3,True,True,TP,Clear shift and extreme deviation from global normal.
MSL,F-7,6384,6663,94.6969696969697,7.149699999999999,2.44542571946935,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +7.1σ deviation.
MSL,F-8,336,951,99.00990099009901,64.75200000000004,3.269662166448485,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-8,1344,1959,100.0,64.75200000000004,3.862912195704789,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-8,2800,3023,94.05940594059405,64.75200000000004,3.4252817193388463,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
