case_id,case_type,ground_truth_label,model_answer,model_confidence,model_reason,parse_status
C0_000,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_001,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_002,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",OK
C0_003,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_004,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_005,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_006,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",OK
C0_007,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear relationship between Channel A and Channel B throughout the entire interval, with no visible deviations from the dominant shape.",OK
C0_008,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_009,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_010,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_011,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear relationship between Channel A and Channel B throughout the entire interval, with no visible deviations in the trajectory.",OK
C0_012,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between the channels throughout the interval.",OK
C0_013,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_014,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_015,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_016,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_017,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_018,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_019,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_020,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_021,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear relationship between Channel A and Channel B throughout the interval, with no visible deviations from the dominant shape.",OK
C0_022,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_023,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear relationship between Channel A and Channel B throughout the entire interval, with no significant deviations in the trajectory.",OK
C0_024,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_025,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear relationship between Channel A and Channel B throughout the entire interval, with no visible deviations in the trajectory.",OK
C0_026,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_027,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",OK
C0_028,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with all colors overlapping, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C0_029,C0,maintained,maintained,0.95,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",OK
C1_000,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that do not overlap with the main shape, indicating a breakdown in the relationship.",OK
C1_001,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that diverge from the main line, indicating a breakdown in the relationship.",OK
C1_002,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, indicating a breakdown in the relationship between Channel A and Channel B at some point.",OK
C1_003,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly in the middle section where the colors diverge from the main line, indicating a breakdown in the relationship.",OK
C1_004,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments of different colors diverging from the main line, indicating a breakdown in the relationship.",OK
C1_005,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that do not overlap with the main shape, indicating a breakdown in the relationship.",OK
C1_006,C1,broken,broken,0.85,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that diverge from the main line, indicating a breakdown in the relationship.",OK
C1_007,C1,broken,broken,0.85,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that do not overlap with the main shape, indicating a breakdown in the relationship.",OK
C1_008,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly noticeable in the yellow segment, indicating a breakdown in the relationship.",OK
C1_009,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly noticeable in the middle section where the colors diverge from the main pattern.",OK
C1_010,C1,broken,broken,0.85,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that do not overlap with the main shape, indicating a breakdown in the relationship.",OK
C1_011,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that diverge from the main line, indicating a breakdown in the relationship.",OK
C1_012,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that diverge from the main line, indicating a breakdown in the relationship.",OK
C1_013,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly in the middle section where the colors diverge from the main line, indicating a breakdown in the relationship.",OK
C1_014,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly in the middle section where the colors diverge from the main line.",OK
C1_015,C1,broken,broken,0.85,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that diverge from the main line, indicating a breakdown in the relationship.",OK
C1_016,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that diverge from the main line, indicating a breakdown in the relationship.",OK
C1_017,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly noticeable in the yellow segment, indicating a breakdown in the relationship.",OK
C1_018,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that do not overlap with the main shape, indicating a breakdown in the relationship.",OK
C1_019,C1,broken,broken,0.95,"The phase portrait shows a deviation from the dominant linear trajectory, particularly with segments that do not overlap with the main shape, indicating a breakdown in the relationship.",OK
