case_id,scenario,source_case,candidate_start,candidate_end,ground_truth_label,model_answer,model_confidence,model_reason,parse_status
V0_000,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_001,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_002,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together consistently.,OK
V0_003,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_004,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_005,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_006,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_007,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_008,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together consistently.,OK
V0_009,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together consistently.,OK
V0_010,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together consistently.,OK
V0_011,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_012,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move in sync.,OK
V0_013,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move closely together.,OK
V0_014,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_015,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_016,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together consistently.,OK
V0_017,V0,C0,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they move together in sync.",OK
V0_018,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together consistently.,OK
V0_019,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_020,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_021,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_022,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_023,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V0_024,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_025,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_026,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_027,V0,C0,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they continue to move in sync.",OK
V0_028,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V0_029,V0,C0,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together consistently.,OK
V1_000,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_001,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_002,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_003,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_004,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_005,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_006,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_007,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_008,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_009,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_010,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_011,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_012,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_013,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_014,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_015,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movement, indicating a break in their relationship.",OK
V1_016,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_017,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_018,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_019,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_020,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_021,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_022,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_023,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_024,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_025,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_026,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_027,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_028,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V1_029,V1,C1,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V2_000,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A continues to oscillate while Channel B remains flat, indicating a break in their relationship.",OK
V2_001,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_002,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_003,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A oscillates while Channel B remains flat.",OK
V2_004,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A shows significant variation while Channel B remains constant, indicating a break in their relationship.",OK
V2_005,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A shows significant variation while Channel B remains constant, indicating a break in their relationship.",OK
V2_006,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A continues to oscillate while Channel B remains flat, indicating a break in their relationship.",OK
V2_007,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A continues to oscillate while Channel B remains flat, indicating a break in their relationship.",OK
V2_008,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A oscillates while Channel B remains flat.",OK
V2_009,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A shows significant variation while Channel B remains constant, indicating a break in their relationship.",OK
V2_010,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B no longer move together; Channel B remains constant while Channel A oscillates.",OK
V2_011,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_012,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_013,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_014,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_015,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_016,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A varies while Channel B remains constant.",OK
V2_017,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_018,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_019,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A varies while Channel B remains constant.",OK
V2_020,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A varies while Channel B remains constant.",OK
V2_021,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A oscillates while Channel B remains flat.",OK
V2_022,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A varies significantly while Channel B remains constant.",OK
V2_023,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_024,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_025,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_026,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together, indicating a break in their relationship.",OK
V2_027,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A oscillates while Channel B remains flat.",OK
V2_028,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A shows significant variation while Channel B remains constant, indicating a break in their relationship.",OK
V2_029,V2,C2,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B do not move together; Channel A oscillates while Channel B remains flat.",OK
V3_000,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_001,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_002,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_003,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_004,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_005,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_006,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_007,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_008,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_009,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_010,V3,C3,0,100,invalid,invalid,0.95,"Inside the red interval, Channel A and Channel B maintain a synchronized relationship, moving together closely.",OK
V3_011,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_012,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move in sync.,OK
V3_013,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_014,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_015,V3,C3,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge and do not maintain their previous synchronized pattern.",OK
V3_016,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_017,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move in sync.,OK
V3_018,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_019,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_020,V3,C3,0,100,invalid,invalid,0.95,"Inside the red interval, Channel A and Channel B maintain a synchronized relationship, moving together closely.",OK
V3_021,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_022,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_023,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_024,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_025,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_026,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_027,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_028,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_029,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V4_000,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B move independently, breaking their previous synchronized pattern.",OK
V4_001,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_002,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_003,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_004,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_005,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_006,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_007,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_008,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_009,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_010,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_011,V4,C4,150,250,valid,valid,0.95,"Inside the red shaded interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_012,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_013,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a clear divergence in their patterns, indicating a break in their relationship.",OK
V4_014,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_015,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_016,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_017,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_018,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_019,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_020,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_021,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_022,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_023,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_024,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_025,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a clear divergence in their patterns, indicating a break in their relationship.",OK
V4_026,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_027,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
