case_id,scenario,source_case,candidate_start,candidate_end,ground_truth_label,model_answer,model_confidence,model_reason,parse_status
V3_015,V3,C3,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge and do not maintain their previous synchronized pattern.",OK
V5_006,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together closely.,OK
V5_009,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V5_011,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together closely.,OK
V5_012,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V5_015,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together consistently.,OK
V5_023,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in a similar pattern.,OK
V5_025,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V5_028,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V6_003,V6,C6,100,200,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movements, indicating a break in their relationship.",OK
V6_008,V6,C6,100,200,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movements, indicating a break in their relationship.",OK
V6_021,V6,C6,100,200,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V7_000,V7,C1,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V8_000,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, with Channel A continuing to oscillate while Channel B flattens out.",OK
V8_001,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move independently, with Channel B remaining flat while Channel A oscillates.",OK
V8_003,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, with Channel B flattening while Channel A continues its oscillation.",OK
V8_005,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move independently, with Channel B remaining constant while Channel A oscillates.",OK
V8_007,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move independently, with Channel B remaining constant while Channel A varies.",OK
V8_008,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V8_009,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B initially move together but then Channel B becomes constant while Channel A continues to oscillate, indicating a break in their relationship.",OK
V8_010,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V8_011,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move independently, with Channel B remaining flat while Channel A oscillates.",OK
V8_012,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, with Channel A showing a sinusoidal pattern while Channel B remains flat.",OK
V8_013,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move together, but outside the interval, Channel B becomes constant while Channel A continues to oscillate.",OK
V8_014,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move together initially but then Channel B flattens while Channel A continues its pattern, indicating a break in their relationship.",OK
V8_015,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge, with Channel B becoming constant while Channel A continues to oscillate.",OK
V8_016,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge, with Channel B becoming constant while Channel A continues its oscillation.",OK
V8_017,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move independently, with Channel B remaining constant while Channel A oscillates.",OK
V8_018,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move together, but outside the interval, Channel B becomes constant while Channel A continues oscillating.",OK
V8_019,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V8_020,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V8_021,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move together initially but then diverge significantly, indicating a break in their relationship.",OK
V8_022,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V8_024,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V8_025,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B move together initially but then diverge significantly, indicating a break in their relationship.",OK
V8_026,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, with Channel A continuing to oscillate while Channel B remains flat.",OK
V8_028,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V8_029,V8,C2,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B initially move together but then diverge significantly, indicating a break in their relationship.",OK
