pass,entity,start,end,length,csc,pct,prior,verdict,conf,keep,is_tp,flag,norm_strength,anom_strength,normal_hypothesis,anomaly_hypothesis,reasoning
1,machine-1-1,56,391,336,0.7461845240005631,81.58415841584159,LOW,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Ch19 and Ch35 exceed the y=1.0 line, reaching approximately y=1.2, indicating a level shift. This ex","Given the low prior and modest anomaly score, the evidence for normal variation is roughly balanced with the anomaly hyp"
1,machine-1-1,784,839,56,0.7148566281849709,52.87128712871287,LOW,NORMAL,3,False,False,FP,strong,weak,"All candidate channel values are within the y=[0,1] range, indicating they are within the machine's ","No channels exceed the orange y=1.0 line, so there is no evidence of a level shift, divergence, ampl","Given the low anomaly percentile and absence of any channel exceeding the normal range, the evidence strongly supports t"
1,machine-1-1,2128,2183,56,0.7130712081687767,48.51485148514851,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are within t","No channels exceed the y=1.0 line, so there are no values above the confirmed normal range. Therefor","Given the low anomaly percentile and absence of any channel exceeding the normal range, the evidence strongly supports t"
1,machine-1-1,3696,4031,336,0.7450090648176522,78.21782178217822,LOW,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Channels Ch19 and Ch20 exceed the y=1.0 line, with Ch20 reaching approximately 1.2, indicating a lev","Given the low prior strength and modest anomaly percentile, the evidence for normal variation is roughly balanced with t"
1,machine-1-1,6440,6943,504,0.7478819785819498,81.38613861386138,LOW,NORMAL,2,False,False,FP,moderate,weak,"The candidate window shows values mostly within the y=[0,1] range, indicating normal variation. The ","Channels Ch20 and Ch21 show values slightly above the orange y=1.0 line, indicating a minor amplitud","Given the low prior strength and modest anomaly score, the evidence for normal variation is stronger, with only minor ex"
1,machine-1-1,7168,7223,56,0.7126236025545291,49.9009900990099,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are within t","No channels exceed the y=1.0 line, so there is no evidence of a level shift, divergence, amplitude s","Given the low prior strength and the absence of any channel exceeding the normal range, the evidence strongly supports t"
1,machine-1-1,7952,8119,168,0.7194412479495527,59.4059405940594,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window's channel values remain within the y=[0,1] range, indicating they are within th","No channels exceed the y=1.0 line, so there are no values above the confirmed normal range. Therefor","Given the low prior strength and absence of any channel exceeding the normal range, the evidence strongly supports the n"
1,machine-1-1,8736,8847,112,0.7142941855242732,50.0990099009901,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are below th","No channels exceed the orange y=1.0 line, so there is no evidence of significant deviation from norm","Given the low prior strength and the absence of any channel exceeding the normal range, the evidence strongly supports n"
1,machine-1-1,9576,9743,168,0.716882575960725,56.63366336633663,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are within t","No channels exceed the orange y=1.0 line, so there is no evidence of an anomaly based on the provide","Given the low prior strength and the absence of any channel exceeding the normal range, the evidence strongly supports t"
1,machine-1-1,11424,11647,224,0.7127872340855271,57.227722772277225,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows channel values that remain within the y=[0,1] range, indicating they are ","No channels exceed the orange y=1.0 line, indicating no values surpass the confirmed normal range. T","With a low prior strength and no exceedance above the training maximum, the evidence strongly supports normal variation."
